step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
594,NA,370.6526,289.8456,580.0378,475.2495
594,300.2960,NA,221.0272,NA,NA
597,NA,373.8103,289.7367,589.1985,478.8645
600,NA,377.6291,295.6150,599.8817,490.1447
600,298.8823,NA,220.1037,NA,NA
603,NA,368.1104,286.4514,579.4822,471.1067
606,NA,366.2856,287.6202,573.4422,472.0241
606,290.9814,NA,213.8488,NA,NA
609,NA,365.6154,285.3205,589.7293,479.3064
612,NA,358.4443,279.4133,566.9517,463.3254
612,294.5080,NA,213.6673,NA,NA
615,NA,357.0580,279.3982,569.6644,466.1897
618,NA,365.6285,285.6557,575.9243,468.3699
618,292.2209,NA,215.8221,NA,NA
621,NA,364.5074,286.8084,586.6323,479.7472
624,NA,360.9092,280.6238,564.1475,459.5678
624,295.4382,NA,216.7418,NA,NA
627,NA,357.7400,281.0394,576.2967,471.1071
630,NA,355.2889,279.2908,572.0252,467.8087
630,287.8183,NA,214.3816,NA,NA
633,NA,359.2484,279.9173,576.1424,469.4617
636,NA,360.8102,283.9340,573.3026,469.3991
636,285.6121,NA,212.2462,NA,NA
639,NA,366.9366,287.4862,585.5151,477.4985
642,NA,347.2036,273.0031,562.5362,462.1225
642,285.8075,NA,212.0514,NA,NA
645,NA,357.0540,280.3079,575.6088,469.9625
648,NA,357.7415,282.8070,581.1946,476.5038
648,278.8265,NA,207.6392,NA,NA
651,NA,346.0067,271.5369,559.0453,459.4005
654,NA,351.3220,278.5270,570.9067,469.8477
654,283.4079,NA,211.6699,NA,NA
657,NA,355.0391,280.0734,573.0915,470.9253
660,NA,352.3809,279.9050,555.5521,457.7176
660,281.1312,NA,208.7589,NA,NA
663,NA,348.8873,274.9633,551.1830,454.4121
666,NA,356.6531,284.1388,575.5031,474.0857
666,277.1532,NA,208.2074,NA,NA
669,NA,345.1730,273.6297,555.0444,457.8272
672,NA,350.4243,278.8528,562.3975,464.8780
672,274.2802,NA,206.9537,NA,NA
675,NA,340.2791,269.3239,544.5636,449.1812
678,NA,359.1595,287.4815,575.1329,475.8049
678,274.4156,NA,208.2584,NA,NA
681,NA,345.3238,273.9216,556.3126,460.0135
684,NA,346.5347,274.8235,568.2289,466.5192
684,276.7449,NA,207.8134,NA,NA
687,NA,344.0291,273.0758,560.1065,462.1174
690,NA,347.6901,277.0667,602.6265,493.3993
690,271.4575,NA,206.4441,NA,NA
693,NA,347.2300,276.5669,578.4176,473.4287
696,NA,339.8812,269.9424,570.9539,469.4149
696,266.6638,NA,200.1253,NA,NA
699,NA,335.7279,266.8873,556.7433,459.7200
702,NA,346.1967,275.5235,583.7542,476.4681
702,267.8460,NA,202.0325,NA,NA
705,NA,341.6687,272.2347,573.2045,472.9042
708,NA,339.2177,270.0897,569.3423,470.4511
708,267.2834,NA,202.4401,NA,NA
711,NA,332.1712,264.2453,548.8246,454.8850
714,NA,348.4716,279.0594,578.1019,474.3808
714,266.5774,NA,202.5843,NA,NA
717,NA,342.4775,274.5945,562.5092,465.9210
720,NA,337.7445,270.5056,561.2727,465.4359
720,266.5352,NA,202.3793,NA,NA
723,NA,339.4225,271.0896,547.5700,453.9131
726,NA,342.7247,275.1907,575.8940,478.7966
726,268.1033,NA,205.1823,NA,NA
729,NA,338.9613,271.0429,552.9211,458.4440
732,NA,330.8443,265.2367,556.6550,464.1066
732,269.4039,NA,205.9525,NA,NA
735,NA,335.0202,268.7857,554.4532,460.8877
738,NA,334.4388,267.8237,566.9985,468.8407
738,264.7187,NA,203.0675,NA,NA
741,NA,331.5884,266.4053,548.5015,457.3884
744,NA,333.5516,266.9328,559.6135,461.7415
744,264.5177,NA,201.0599,NA,NA
747,NA,336.7428,270.8609,558.8873,463.6043
750,NA,331.9688,266.6334,551.5013,457.7592
750,255.9560,NA,194.6044,NA,NA
753,NA,328.1394,263.2755,553.6875,459.3914
756,NA,329.5156,265.0854,545.4666,453.8375
756,257.5906,NA,195.9312,NA,NA
759,NA,330.8315,265.4750,543.7191,452.4527
762,NA,331.8346,267.1004,552.3352,458.8065
762,261.3301,NA,199.7818,NA,NA
765,NA,328.6577,264.8130,540.0588,451.2072
768,NA,336.2408,270.9956,546.9431,455.1776
768,257.0453,NA,195.7617,NA,NA
771,NA,328.5772,265.1277,549.8151,459.1296
774,NA,327.4565,263.5880,539.2324,450.0435
774,260.4568,NA,198.8505,NA,NA
777,NA,329.7173,266.3757,547.3737,456.4698
780,NA,328.4949,264.9651,538.2866,449.4245
780,256.6630,NA,196.9998,NA,NA
783,NA,322.4664,259.5837,536.6346,447.7550
786,NA,331.3063,267.9063,552.5913,460.9707
786,258.4377,NA,198.4512,NA,NA
789,NA,328.8125,265.4781,543.1004,452.5560
792,NA,325.8179,263.1557,541.3514,452.7817
792,259.3620,NA,199.3461,NA,NA
795,NA,329.6125,266.8379,548.6750,457.8640
798,NA,326.1698,263.4276,552.1954,458.9576
798,254.7089,NA,196.2476,NA,NA
801,NA,333.2198,269.8771,560.4868,465.3208
804,NA,329.8583,267.1687,559.3838,466.1642
804,257.5089,NA,198.7981,NA,NA
807,NA,328.8275,265.8363,556.8909,463.4752
810,NA,322.0282,260.0049,546.1569,457.0052
810,252.1184,NA,193.3801,NA,NA
813,NA,330.1498,266.7917,556.7617,463.0046
816,NA,329.4473,266.7022,553.4801,462.8590
816,252.8693,NA,193.0524,NA,NA
819,NA,335.4153,271.9646,567.4172,470.5149
822,NA,329.4072,265.7419,560.5510,465.1881
822,253.8398,NA,194.5410,NA,NA
825,NA,322.6390,260.8614,549.0746,458.3396
828,NA,330.8771,268.1492,552.1081,460.0079
828,251.0483,NA,192.6891,NA,NA
831,NA,324.1232,262.8593,546.3794,456.3486
834,NA,322.2980,260.5134,544.5667,453.4231
834,256.6266,NA,197.5840,NA,NA
837,NA,326.1686,264.1832,557.5778,465.4893
840,NA,333.4504,271.0512,558.2117,465.9537
840,251.9595,NA,193.6422,NA,NA
843,NA,325.7137,264.0751,543.5764,454.8961
846,NA,325.2512,263.3644,552.2741,460.8389
846,250.6457,NA,193.6392,NA,NA
849,NA,321.8960,261.5901,548.2543,458.9435
852,NA,323.1463,262.2529,545.1799,457.0074
852,250.2686,NA,193.1772,NA,NA
855,NA,321.0156,260.5306,546.4120,457.8579
858,NA,323.3141,262.4964,558.2595,465.8638
858,250.9014,NA,193.6620,NA,NA
861,NA,323.9396,263.1544,549.0619,460.1168
864,NA,328.3832,266.6519,562.7993,469.8877
864,250.4614,NA,193.8758,NA,NA
867,NA,321.4774,261.7918,539.8180,453.1003
870,NA,323.0394,262.3486,560.8148,467.5750
870,250.9081,NA,194.9259,NA,NA
873,NA,326.2350,265.9246,549.9037,460.8104
876,NA,319.1960,259.4101,542.2135,454.2300
876,249.5500,NA,192.4648,NA,NA
879,NA,322.0120,262.3712,554.4883,464.2124
882,NA,317.5052,257.7256,538.7076,452.6094
882,249.4845,NA,192.3919,NA,NA
885,NA,324.0902,263.6136,551.2913,460.3330
888,NA,327.8258,267.3472,546.0718,457.7059
