step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
879,NA,310.7547,255.7445,445.4771,374.2038
882,NA,310.8031,256.3849,446.0054,375.0106
882,237.9996,NA,186.9474,NA,NA
885,NA,306.6945,252.6552,447.1404,376.2057
888,NA,306.3535,252.6756,445.9026,375.3755
888,235.8097,NA,184.9114,NA,NA
891,NA,309.4535,254.6137,445.1089,374.4672
894,NA,308.0513,254.4652,446.4839,376.0896
894,235.9462,NA,185.4481,NA,NA
897,NA,307.3493,253.4006,447.4706,376.9645
900,NA,310.8871,256.4471,446.3494,375.6484
900,236.9517,NA,186.0351,NA,NA
903,NA,309.7525,255.9314,443.8236,373.3371
906,NA,306.8578,253.2961,446.2679,376.1487
906,235.6481,NA,185.3650,NA,NA
909,NA,305.1140,251.4749,445.2415,374.8115
912,NA,307.5939,254.4379,444.7033,374.6263
912,233.8208,NA,183.6794,NA,NA
915,NA,307.7256,253.7763,445.4275,375.3369
918,NA,305.7919,252.3306,445.0331,374.7188
918,232.7951,NA,182.5335,NA,NA
921,NA,304.3687,251.3234,443.4092,373.7426
924,NA,308.1143,254.7377,446.1798,376.0417
924,238.2806,NA,187.9265,NA,NA
927,NA,303.5352,250.5953,445.8189,376.2049
930,NA,312.8238,259.3805,447.7468,377.8684
930,233.3487,NA,183.7084,NA,NA
933,NA,310.8152,257.3759,444.7997,375.0064
936,NA,307.0611,254.3578,443.5874,374.1393
936,234.6842,NA,184.8862,NA,NA
939,NA,305.7408,253.0138,444.5869,375.0744
942,NA,304.9702,252.2735,444.1086,374.8207
942,234.7132,NA,185.2080,NA,NA
945,NA,303.7645,251.2026,444.9407,375.3485
948,NA,307.9415,255.0667,441.4406,372.3510
948,233.9570,NA,184.8237,NA,NA
951,NA,305.8305,253.2414,444.2129,374.7206
954,NA,305.2599,253.1544,445.2491,375.9475
954,239.3323,NA,189.5589,NA,NA
957,NA,299.8867,247.9971,441.6363,372.6958
960,NA,305.7866,253.3149,446.0446,376.6199
960,235.5181,NA,186.3654,NA,NA
963,NA,304.2182,251.8792,444.9760,375.6933
966,NA,300.1862,248.2729,440.9206,371.9120
966,232.8395,NA,183.6996,NA,NA
969,NA,307.0984,254.7205,444.0333,374.9545
972,NA,301.5869,250.1068,444.1621,375.6614
972,230.3344,NA,181.7523,NA,NA
975,NA,303.9861,251.8066,442.9088,373.5332
